website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
https://benmorenutritionfitness.com/v2/#page/benmore-crossfit,https://profilepicsbucket.crossfit.com/pukie.png,1,21355,55.201433,-6.249727,Ballycastle,benmore,0,BT54 6AA,GB,0,2001-01-01T00:00:00Z,0,11B Ann Street,1,,1,0,Benmore CrossFit,United Kingdom,Commercial,25705,
https://www.crossfitaltisea.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,21364,42.66404288863373,2.817645601071831,Toulouges,crossfit,0,66350,FR,0,2001-01-01T00:00:00Z,0,4 impasse Paul Séjourné,1,,1,0,CrossFit Altisea,France,Commercial,25940,
https://crossfitbg.cat/,https://profilepicsbucket.crossfit.com/pukie.png,1,21348,42.094138,1.834862,Berga,crossfit,0,08600,ES,0,2001-01-01T00:00:00Z,0,Carrer Camí Garreta, 84. P.I. La Valldan.,1,,1,0,CrossFit BG,Spain,Commercial,26046,
https://www.getep.es/centro-de-crossfit,https://profilepicsbucket.crossfit.com/pukie.png,1,21358,40.392093438848036,-3.68904884522982,Madrid,getep,0,28045,ES,0,2001-01-01T00:00:00Z,0,Calle del Plomo 8A 3 local 4,1,,1,0,Getep CrossFit,Spain,Commercial,26055,
http://www.crossfitxokbalam.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,21365,20.857245981082897,-86.89975773458546,Puerto Morelos,crossfit,0,77580,MX,0,2001-01-01T00:00:00Z,0,Avenida Joaquín Cetina Gazca Supermanzana 18, Manzana 6, Lote 14,1,,1,0,CrossFit Xok Balam,Mexico,Commercial,26072,
https://www.safaricrossfit.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,21366,-16.641633860026715,-49.235683166938514,Goianna,safari,0,74670600,BR,0,2001-01-01T00:00:00Z,0,Avenida das Industrias Qd. 151 Lt. 51 - Santa Genoveva,1,,1,0,Safari CrossFit,Brazil,Commercial,26081,
https://www.whetstonefitness.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,21363,38.762901,-77.111128,Alexandria,whetstone,0,22306,US,0,2001-01-01T00:00:00Z,0,7112 Whetstone Rd,1,VA,1,0,Whetstone CrossFit,United States,Commercial,26104,Virginia
https://rallypointendeavors.com/programs/,https://profilepicsbucket.crossfit.com/pukie.png,1,21350,42.11391,-87.82608,Northbrook,crossfit,0,60062,US,0,2001-01-01T00:00:00Z,0,1852 N. Janke Drive,1,IL,1,0,CrossFit Rally Point Northbrook,United States,Commercial,26121,Illinois
https://www.bpcf.co.za/,https://profilepicsbucket.crossfit.com/pukie.png,1,21220,-33.915174,18.420164,Cape Town,battery,0,8001,ZA,0,2001-01-01T00:00:00Z,0,Unit 2, Battery Park   Alfred Road  V&A Waterfront,1,,1,0,Battery Park CrossFit,South Africa,Commercial,25087,
http://www.rainiercrossfit.com/,https://profilepicsbucket.crossfit.com/33b4a-A926_2-184.jpg,1,189,47.130593,-122.17168,Bonney Lake,rainier,2,98391,US,0,2004-06-03T07:00:00Z,0,13808 Overlook Dr East,1,WA,0,1,Rainier CrossFit,United States,Commercial,926,Washington
http://www.crossfitportland.com/,https://profilepicsbucket.crossfit.com/e1ee2-A872_2-184.jpg,1,208,45.5259231,-122.6576499,Portland,crossfit,2,97227,US,0,2005-03-17T08:00:00Z,0,418 NE 8th Street,1,OR,1,0,CrossFit Portland,United States,Commercial,872,Oregon
http://www.hyperfitusa.com/,https://profilepicsbucket.crossfit.com/d832e-A781_2-184.jpg,1,194,42.2320432,-83.7428778,Belleville,crossfit,2,48111,US,0,2005-04-01T08:00:00Z,0,259 East Huron River Dr,1,MI,1,0,CrossFit Ann Arbor,United States,Commercial,781,Michigan
http://www.crossfitnyc.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,199,40.7457263,-73.990086,New York,crossfit,0,10001,US,0,2005-07-04T07:00:00Z,0,50 West 28th Street,1,NY,1,0,CrossFit NYC,United States,Commercial,837,New York
http://www.TeamCrossFitAcademy.com,https://profilepicsbucket.crossfit.com/63134-A892_3-184.jpg,1,201,,,San Dimas,team,3,91773,US,0,2005-07-05T07:00:00Z,0,1171 Coventry Ct.,1,CA,0,0,Team CrossFit Academy,United States,Commercial,892,California
http://www.crossfitgymert.nl/,https://profilepicsbucket.crossfit.com/pukie.png,1,203,51.55,5.7,Gemert,crossfit,0,5421 WW,NL,0,2005-07-17T07:00:00Z,0,Rechteloop 10,1,,1,0,CrossFit Gymert,Netherlands,Commercial,834,
http://www.crossfitlondonuk.com/,https://profilepicsbucket.crossfit.com/17008-A825_2-184.jpg,1,200,51.522372,-0.055987,Bethnal Green,crossfit,2,E1 5QT,GB,0,2005-07-18T07:00:00Z,0,Arch A-D & 30, 150 Buckhurst St,1,,1,1,CrossFit London UK,United Kingdom,Commercial,825,
http://www.crossfitto.com/,https://profilepicsbucket.crossfit.com/00dbb-A888_5-184.jpg,1,206,43.70816,-79.359099,Toronto,crossfit,5,M4G 1Y9,CA,0,2005-08-11T07:00:00Z,0,24 Industrial St.,1,ON,1,1,CrossFit Toronto,Canada,Commercial,888,Ontario
http://www.crossfitboston.com/,https://profilepicsbucket.crossfit.com/e1c40-A784_2-184.jpg,1,204,42.3598604,-71.1378231,Brighton,crossfit,2,02135,US,0,2005-08-12T07:00:00Z,0,100 Holton Street,1,MA,1,0,CrossFit Boston,United States,Commercial,784,Massachusetts
http://www.crossfitoakland.com/,https://profilepicsbucket.crossfit.com/39a07-A839_4-184.jpg,1,210,37.8490377,-122.2911256,Emeryville,crossfit,4,94608,US,0,2005-10-01T07:00:00Z,0,1313 67th Street,1,CA,1,0,CrossFit Oakland,United States,Commercial,839,California
http://www.crossfitatlanta.com,https://profilepicsbucket.crossfit.com/81ecf-A783_4-184.jpg,1,209,33.801713,-84.421234,Atlanta,crossfit,4,30318,US,0,2005-10-06T07:00:00Z,0,1730 Taylor St NW,1,GA,1,1,CrossFit Atlanta,United States,Commercial,783,Georgia
http://www.crossfitdc.com/,https://profilepicsbucket.crossfit.com/5307b-A791_3-184.jpg,1,218,38.9172614,-77.0350063,Washington,crossfit,3,20009,US,0,2005-11-18T08:00:00Z,0,1507 U St NW,1,DC,1,0,CrossFit DC,United States,Commercial,791,District Of Columbia
